wi0,wi1,wi2,wi3,wi4,wi5,wi6,wi7,wi8,wi9,wi10,wi11,wi12,wi13,wi14,wi15,wi16,wi17,wi18,wi19,wi20,wi21,wi22,wi23,wi24,wi25,wi26,wi27,wi28,wi29,wi30,wi31,wi32,wi33,wi34,wi35,wi36,wi37,wi38,wi39,wi40,wi41,wi42,wi43,wi44,wi45,wi46,wi47,wi48,wi49,wi50,wi51,wi52,wi53,wi54,wi55,wi56,wi57,wi58,wi59,wi60,wi61,wi62,wi63,wi64,wi65,wi66,wi67,wi68,wi69,wi70,wi71,wi72,wi73,wi74,wi75,wi76,wi77,wi78,wi79,wi80
0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,7.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,9.0,4.0,6.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,1.0,1.0,5.0,2.0,2.0,6.0,3.0,2.0,9.0,3.0,1.0,0.0,14.0,4.0,13.0,8.0,4.0,0.0,2.0,0.0,3.0,9.0,33.0,37.0,4.0,11.0,11.0,3.0,4.0,13.0,23.0,14.0,29.0,48.0,26.0,7.0,6.0,4.0,0.0,10.0,20.0,14.0,16.0,6.0,1.0,1.0,4.0,3.0,9.0,14.0,3.0,7.0,7.0,7.0,1.0,0.0,0.0,5.0,6.0,0.0,2.0,0.0,2.0,3.0
0.0,1.0,9.0,2.0,2.0,12.0,3.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,6.0,6.0,17.0,9.0,0.0,0.0,18.0,2.0,21.0,7.0,15.0,31.0,5.0,3.0,0.0,43.0,19.0,39.0,31.0,4.0,2.0,4.0,2.0,16.0,46.0,136.0,125.0,40.0,43.0,34.0,5.0,10.0,24.0,34.0,57.0,158.0,161.0,102.0,33.0,22.0,4.0,14.0,35.0,56.0,62.0,53.0,29.0,12.0,4.0,4.0,27.0,41.0,47.0,38.0,17.0,23.0,21.0,0.0,1.0,7.0,11.0,5.0,3.0,13.0,3.0,6.0,1.0
0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,4.0,1.0,3.0,0.0,0.0,10.0,4.0,11.0,2.0,2.0,2.0,0.0,1.0,1.0,11.0,47.0,23.0,6.0,13.0,7.0,1.0,0.0,3.0,7.0,12.0,36.0,27.0,23.0,11.0,3.0,1.0,2.0,3.0,11.0,12.0,8.0,6.0,1.0,1.0,2.0,4.0,4.0,11.0,3.0,7.0,3.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,7.0,2.0,0.0,0.0,4.0,2.0,1.0,7.0,3.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,11.0,5.0,2.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,2.0,10.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,13.0,8.0,6.0,2.0,0.0,4.0,2.0,0.0,8.0,0.0,7.0,16.0,5.0,1.0,1.0,1.0,3.0,7.0,30.0,32.0,10.0,14.0,4.0,2.0,1.0,7.0,5.0,10.0,27.0,41.0,29.0,14.0,3.0,2.0,3.0,7.0,22.0,12.0,23.0,11.0,2.0,0.0,0.0,3.0,8.0,5.0,14.0,7.0,2.0,12.0,0.0,0.0,0.0,14.0,6.0,1.0,4.0,3.0,0.0,0.0
0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,19.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,14.0,7.0,16.0,34.0,1.0,1.0,0.0,10.0,4.0,16.0,21.0,10.0,4.0,2.0,0.0,9.0,28.0,75.0,52.0,23.0,41.0,25.0,4.0,1.0,16.0,9.0,18.0,107.0,90.0,43.0,23.0,11.0,0.0,2.0,11.0,24.0,16.0,20.0,10.0,7.0,4.0,2.0,11.0,11.0,14.0,9.0,10.0,20.0,8.0,0.0,1.0,2.0,14.0,3.0,1.0,4.0,3.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,10.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,14.0,10.0,3.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,15.0,17.0,5.0,0.0,1.0,1.0,1.0,2.0,9.0,5.0,6.0,0.0,0.0,2.0,1.0,3.0,1.0,4.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,8.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,9.0,15.0,5.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
1.0,0.0,4.0,14.0,0.0,1.0,1.0,0.0,1.0,15.0,2.0,3.0,10.0,1.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,12.0,0.0,4.0,4.0,4.0,3.0,2.0,2.0,6.0,19.0,12.0,4.0,0.0,0.0,2.0,7.0,33.0,58.0,56.0,20.0,20.0,13.0,3.0,8.0,10.0,10.0,24.0,66.0,63.0,22.0,11.0,4.0,2.0,1.0,19.0,31.0,19.0,24.0,11.0,3.0,0.0,1.0,10.0,15.0,17.0,10.0,11.0,5.0,8.0,0.0,0.0,1.0,5.0,4.0,1.0,4.0,3.0,1.0,0.0
0.0,0.0,8.0,50.0,2.0,4.0,1.0,2.0,0.0,11.0,0.0,5.0,6.0,1.0,1.0,3.0,4.0,16.0,2.0,1.0,1.0,0.0,0.0,6.0,8.0,14.0,5.0,2.0,3.0,13.0,4.0,28.0,36.0,10.0,2.0,2.0,2.0,6.0,33.0,85.0,81.0,36.0,29.0,19.0,2.0,2.0,16.0,17.0,36.0,87.0,126.0,40.0,26.0,3.0,3.0,1.0,21.0,30.0,34.0,40.0,15.0,8.0,2.0,5.0,7.0,18.0,24.0,22.0,16.0,19.0,11.0,2.0,0.0,5.0,10.0,3.0,3.0,17.0,3.0,3.0,1.0
0.0,0.0,2.0,8.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,20.0,7.0,0.0,1.0,1.0,9.0,1.0,0.0,4.0,2.0,0.0,3.0,8.0,8.0,3.0,2.0,0.0,27.0,1.0,13.0,4.0,12.0,3.0,0.0,2.0,10.0,23.0,57.0,653.0,18.0,26.0,16.0,2.0,5.0,16.0,31.0,44.0,102.0,100.0,59.0,24.0,14.0,4.0,2.0,28.0,41.0,39.0,32.0,24.0,7.0,2.0,1.0,11.0,18.0,32.0,20.0,25.0,12.0,5.0,2.0,0.0,0.0,9.0,9.0,10.0,13.0,8.0,1.0,4.0
0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,2.0,9.0,1.0,0.0,0.0,2.0,13.0,2.0,0.0,0.0,8.0,3.0,2.0,0.0,5.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,5.0,9.0,37.0,28.0,12.0,11.0,3.0,0.0,3.0,3.0,14.0,13.0,38.0,36.0,19.0,13.0,3.0,0.0,0.0,6.0,14.0,14.0,13.0,5.0,2.0,1.0,0.0,10.0,8.0,13.0,8.0,5.0,8.0,8.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0
0.0,1.0,2.0,9.0,0.0,3.0,1.0,0.0,1.0,5.0,0.0,5.0,19.0,4.0,3.0,0.0,12.0,25.0,1.0,0.0,2.0,6.0,7.0,0.0,0.0,3.0,15.0,1.0,1.0,12.0,6.0,12.0,6.0,0.0,1.0,1.0,0.0,7.0,12.0,75.0,54.0,15.0,29.0,15.0,3.0,6.0,9.0,14.0,8.0,80.0,67.0,42.0,22.0,9.0,0.0,2.0,4.0,23.0,21.0,10.0,9.0,5.0,0.0,4.0,5.0,14.0,19.0,18.0,15.0,11.0,15.0,1.0,1.0,2.0,7.0,2.0,2.0,7.0,4.0,2.0,2.0
0.0,0.0,1.0,14.0,0.0,4.0,3.0,1.0,3.0,3.0,1.0,1.0,26.0,4.0,2.0,3.0,0.0,23.0,5.0,0.0,5.0,13.0,16.0,6.0,0.0,0.0,1.0,2.0,2.0,15.0,9.0,25.0,26.0,14.0,3.0,3.0,1.0,5.0,28.0,106.0,121.0,28.0,40.0,27.0,6.0,5.0,9.0,11.0,25.0,108.0,133.0,81.0,29.0,10.0,1.0,1.0,17.0,37.0,34.0,28.0,19.0,7.0,1.0,4.0,9.0,22.0,24.0,22.0,11.0,16.0,17.0,0.0,1.0,3.0,11.0,6.0,2.0,7.0,3.0,2.0,3.0
0.0,0.0,2.0,5.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,15.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,3.0,4.0,5.0,3.0,8.0,1.0,0.0,1.0,1.0,4.0,7.0,4.0,12.0,5.0,1.0,1.0,0.0,2.0,14.0,73.0,60.0,16.0,28.0,15.0,3.0,1.0,6.0,15.0,8.0,49.0,57.0,27.0,13.0,4.0,1.0,0.0,2.0,17.0,8.0,7.0,11.0,2.0,0.0,2.0,2.0,6.0,11.0,7.0,14.0,3.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0,15.0,3.0,2.0,0.0
1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,3.0,8.0,3.0,2.0,1.0,4.0,0.0,8.0,26.0,17.0,19.0,6.0,5.0,1.0,3.0,4.0,21.0,5.0,7.0,18.0,29.0,9.0,2.0,1.0,1.0,6.0,10.0,9.0,8.0,7.0,1.0,2.0,0.0,5.0,1.0,13.0,5.0,4.0,7.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,5.0,2.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,3.0,4.0,0.0,5.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,6.0,27.0,20.0,7.0,9.0,5.0,1.0,5.0,9.0,5.0,10.0,21.0,36.0,10.0,7.0,0.0,1.0,1.0,10.0,11.0,4.0,6.0,3.0,3.0,1.0,1.0,5.0,9.0,12.0,6.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,6.0,15.0,3.0,2.0,1.0,0.0,0.0,22.0,2.0,9.0,29.0,5.0,1.0,4.0,11.0,15.0,6.0,1.0,3.0,22.0,48.0,10.0,13.0,24.0,7.0,20.0,2.0,0.0,5.0,70.0,65.0,21.0,5.0,3.0,9.0,28.0,31.0,136.0,260.0,100.0,97.0,37.0,10.0,27.0,66.0,91.0,107.0,325.0,357.0,196.0,85.0,18.0,8.0,29.0,90.0,132.0,111.0,116.0,58.0,20.0,9.0,15.0,41.0,90.0,93.0,68.0,37.0,37.0,38.0,4.0,1.0,7.0,24.0,13.0,11.0,28.0,2.0,2.0,5.0
0.0,0.0,0.0,10.0,3.0,2.0,1.0,0.0,1.0,7.0,0.0,5.0,20.0,3.0,2.0,2.0,3.0,8.0,1.0,2.0,11.0,10.0,13.0,2.0,9.0,17.0,6.0,4.0,3.0,5.0,0.0,8.0,14.0,20.0,2.0,1.0,8.0,17.0,17.0,36.0,36.0,46.0,44.0,29.0,2.0,9.0,55.0,39.0,51.0,154.0,156.0,89.0,29.0,11.0,4.0,8.0,35.0,53.0,40.0,55.0,31.0,9.0,2.0,3.0,26.0,27.0,46.0,36.0,11.0,22.0,11.0,0.0,0.0,8.0,19.0,10.0,2.0,16.0,2.0,9.0,0.0
0.0,0.0,5.0,26.0,1.0,3.0,3.0,0.0,0.0,5.0,2.0,9.0,56.0,22.0,2.0,4.0,8.0,12.0,1.0,0.0,22.0,49.0,132.0,5.0,24.0,40.0,9.0,8.0,10.0,80.0,3.0,0.0,2.0,13.0,7.0,2.0,9.0,45.0,80.0,157.0,8.0,22.0,101.0,57.0,7.0,24.0,49.0,60.0,76.0,285.0,311.0,207.0,93.0,22.0,13.0,15.0,48.0,140.0,96.0,116.0,67.0,19.0,8.0,8.0,37.0,42.0,85.0,72.0,44.0,32.0,32.0,2.0,0.0,12.0,24.0,17.0,16.0,25.0,3.0,0.0,2.0
3.0,0.0,5.0,26.0,2.0,9.0,3.0,3.0,2.0,7.0,2.0,3.0,24.0,6.0,12.0,9.0,27.0,57.0,2.0,0.0,14.0,34.0,54.0,4.0,9.0,115.0,48.0,3.0,5.0,86.0,29.0,3.0,0.0,2.0,14.0,9.0,6.0,26.0,69.0,165.0,33.0,7.0,32.0,40.0,9.0,13.0,42.0,33.0,52.0,258.0,265.0,177.0,68.0,27.0,3.0,6.0,34.0,98.0,75.0,101.0,55.0,24.0,5.0,7.0,31.0,49.0,74.0,71.0,53.0,45.0,31.0,2.0,0.0,6.0,23.0,17.0,8.0,23.0,9.0,7.0,3.0
0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,7.0,6.0,0.0,1.0,17.0,16.0,0.0,0.0,13.0,23.0,22.0,3.0,0.0,24.0,19.0,2.0,4.0,25.0,19.0,27.0,1.0,0.0,2.0,5.0,1.0,14.0,30.0,113.0,99.0,20.0,19.0,15.0,9.0,5.0,19.0,11.0,40.0,88.0,140.0,145.0,46.0,19.0,4.0,6.0,28.0,49.0,27.0,49.0,35.0,26.0,6.0,2.0,15.0,20.0,28.0,25.0,41.0,24.0,26.0,0.0,1.0,5.0,20.0,3.0,1.0,13.0,8.0,3.0,6.0
0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,3.0,5.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,4.0,9.0,15.0,2.0,0.0,0.0,0.0,3.0,9.0,30.0,31.0,26.0,16.0,2.0,1.0,2.0,6.0,6.0,9.0,38.0,48.0,50.0,28.0,17.0,0.0,3.0,6.0,13.0,12.0,12.0,15.0,11.0,3.0,0.0,4.0,6.0,5.0,9.0,6.0,7.0,6.0,1.0,0.0,1.0,2.0,5.0,4.0,9.0,2.0,0.0,0.0
0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,10.0,0.0,0.0,3.0,4.0,5.0,1.0,2.0,6.0,2.0,2.0,0.0,3.0,2.0,13.0,6.0,3.0,0.0,0.0,0.0,2.0,9.0,22.0,30.0,17.0,35.0,6.0,0.0,3.0,8.0,11.0,4.0,35.0,44.0,33.0,17.0,4.0,1.0,2.0,4.0,14.0,3.0,13.0,10.0,3.0,1.0,0.0,7.0,5.0,6.0,5.0,11.0,13.0,5.0,1.0,0.0,3.0,5.0,4.0,1.0,5.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,5.0,2.0,0.0,2.0,8.0,1.0,6.0,11.0,4.0,0.0,2.0,0.0,0.0,21.0,53.0,33.0,2.0,11.0,8.0,3.0,0.0,10.0,6.0,13.0,34.0,35.0,12.0,5.0,2.0,1.0,2.0,8.0,14.0,9.0,12.0,7.0,0.0,3.0,6.0,6.0,10.0,9.0,10.0,7.0,2.0,4.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,2.0,2.0
0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,8.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,22.0,12.0,19.0,5.0,4.0,3.0,3.0,7.0,2.0,18.0,15.0,28.0,9.0,6.0,0.0,0.0,0.0,0.0,5.0,36.0,121.0,27.0,32.0,16.0,2.0,12.0,4.0,19.0,54.0,156.0,172.0,53.0,22.0,13.0,8.0,10.0,33.0,72.0,51.0,37.0,18.0,6.0,2.0,2.0,29.0,31.0,34.0,27.0,17.0,18.0,18.0,0.0,0.0,12.0,17.0,6.0,6.0,8.0,3.0,4.0,4.0
2.0,0.0,5.0,22.0,0.0,11.0,0.0,0.0,1.0,20.0,6.0,8.0,42.0,19.0,8.0,4.0,12.0,28.0,5.0,3.0,29.0,41.0,52.0,7.0,20.0,40.0,11.0,48.0,5.0,60.0,33.0,91.0,78.0,37.0,11.0,11.0,18.0,8.0,0.0,5.0,354.0,141.0,161.0,69.0,12.0,42.0,19.0,19.0,61.0,477.0,538.0,251.0,128.0,36.0,14.0,39.0,138.0,229.0,167.0,153.0,75.0,34.0,11.0,8.0,84.0,114.0,156.0,130.0,87.0,75.0,54.0,7.0,4.0,26.0,53.0,44.0,29.0,52.0,15.0,18.0,8.0
0.0,0.0,8.0,28.0,2.0,5.0,1.0,1.0,4.0,11.0,2.0,9.0,51.0,19.0,3.0,1.0,14.0,27.0,3.0,1.0,32.0,48.0,54.0,10.0,27.0,47.0,23.0,20.0,15.0,108.0,25.0,54.0,38.0,25.0,13.0,13.0,15.0,27.0,1.0,0.0,26.0,112.0,186.0,100.0,15.0,59.0,79.0,22.0,19.0,413.0,852.0,343.0,121.0,65.0,18.0,36.0,137.0,254.0,225.0,259.0,140.0,50.0,15.0,20.0,91.0,150.0,228.0,196.0,124.0,88.0,72.0,7.0,3.0,15.0,76.0,66.0,15.0,55.0,25.0,12.0,13.0
0.0,0.0,10.0,33.0,2.0,4.0,6.0,3.0,6.0,12.0,2.0,23.0,66.0,27.0,7.0,6.0,13.0,26.0,1.0,2.0,44.0,71.0,119.0,22.0,29.0,94.0,42.0,21.0,6.0,161.0,47.0,10.0,45.0,35.0,12.0,20.0,21.0,70.0,167.0,61.0,0.0,17.0,231.0,164.0,29.0,51.0,162.0,208.0,195.0,166.0,583.0,588.0,234.0,84.0,21.0,61.0,195.0,404.0,340.0,399.0,205.0,71.0,22.0,19.0,273.0,256.0,403.0,371.0,181.0,130.0,148.0,15.0,5.0,36.0,75.0,78.0,25.0,95.0,21.0,28.0,20.0
