wi0,wi1,wi2,wi3,wi4,wi5,wi6,wi7,wi8,wi9,wi10,wi11,wi12,wi13,wi14,wi15,wi16,wi17,wi18,wi19,wi20,wi21,wi22,wi23,wi24,wi25,wi26,wi27,wi28,wi29,wi30,wi31,wi32,wi33,wi34,wi35
9.0,44.0,133.0,19.0,10.0,15.0,38.0,110.0,307.0,261.0,100.0,167.0,126.0,522.0,631.0,542.0,437.0,112.0,358.0,546.0,123.0,2551.0,1916.0,370.0,150.0,971.0,1211.0,1548.0,818.0,90.0,46.0,760.0,595.0,495.0,179.0,92.0
7.0,34.0,152.0,9.0,7.0,26.0,34.0,115.0,275.0,315.0,154.0,262.0,87.0,624.0,1515.0,574.0,686.0,183.0,293.0,1345.0,2943.0,103.0,1026.0,673.0,136.0,1181.0,2074.0,2029.0,1122.0,136.0,40.0,1422.0,827.0,827.0,245.0,122.0
1.0,21.0,105.0,10.0,12.0,39.0,29.0,58.0,171.0,157.0,92.0,183.0,49.0,295.0,1032.0,485.0,286.0,192.0,137.0,579.0,2126.0,1317.0,26.0,323.0,79.0,625.0,1212.0,1195.0,894.0,179.0,21.0,350.0,377.0,413.0,343.0,113.0
1.0,9.0,22.0,3.0,3.0,14.0,10.0,12.0,56.0,43.0,35.0,51.0,12.0,89.0,324.0,157.0,142.0,31.0,51.0,211.0,645.0,1035.0,412.0,1.0,20.0,177.0,356.0,468.0,409.0,39.0,14.0,115.0,95.0,129.0,118.0,31.0
5.0,2.0,8.0,0.0,0.0,1.0,0.0,7.0,9.0,17.0,5.0,16.0,5.0,24.0,78.0,44.0,29.0,9.0,32.0,77.0,222.0,234.0,99.0,17.0,2.0,111.0,148.0,123.0,49.0,5.0,5.0,72.0,44.0,32.0,7.0,7.0
2.0,13.0,36.0,3.0,4.0,5.0,19.0,30.0,90.0,109.0,40.0,64.0,46.0,225.0,573.0,194.0,149.0,29.0,138.0,442.0,1161.0,1767.0,782.0,156.0,147.0,64.0,349.0,993.0,483.0,41.0,55.0,191.0,260.0,281.0,123.0,39.0
5.0,21.0,88.0,14.0,2.0,17.0,27.0,73.0,161.0,176.0,57.0,67.0,45.0,377.0,1262.0,413.0,361.0,51.0,209.0,838.0,1927.0,2972.0,1460.0,290.0,186.0,360.0,61.0,919.0,820.0,79.0,59.0,727.0,383.0,331.0,212.0,91.0
1.0,28.0,95.0,8.0,7.0,14.0,16.0,50.0,131.0,144.0,77.0,97.0,48.0,260.0,1229.0,490.0,445.0,102.0,171.0,661.0,2224.0,2411.0,1379.0,412.0,84.0,828.0,834.0,118.0,476.0,124.0,27.0,550.0,519.0,286.0,208.0,118.0
1.0,9.0,35.0,0.0,4.0,19.0,9.0,28.0,61.0,78.0,37.0,67.0,19.0,137.0,530.0,226.0,231.0,61.0,64.0,254.0,1052.0,1432.0,783.0,304.0,48.0,400.0,690.0,437.0,19.0,51.0,16.0,258.0,263.0,244.0,73.0,129.0
0.0,0.0,8.0,1.0,0.0,3.0,3.0,4.0,14.0,15.0,5.0,13.0,5.0,19.0,70.0,28.0,28.0,17.0,10.0,33.0,134.0,196.0,129.0,22.0,6.0,53.0,99.0,94.0,40.0,2.0,2.0,34.0,30.0,51.0,28.0,9.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,8.0,1.0,7.0,19.0,9.0,9.0,7.0,10.0,24.0,53.0,45.0,26.0,8.0,5.0,46.0,54.0,34.0,13.0,3.0,0.0,19.0,25.0,4.0,9.0,2.0
2.0,9.0,22.0,1.0,2.0,5.0,5.0,13.0,47.0,51.0,12.0,39.0,18.0,73.0,301.0,119.0,105.0,22.0,63.0,267.0,805.0,1160.0,399.0,87.0,53.0,222.0,555.0,625.0,243.0,28.0,29.0,2.0,68.0,167.0,77.0,27.0
1.0,5.0,26.0,0.0,0.0,5.0,14.0,17.0,41.0,40.0,22.0,31.0,13.0,64.0,446.0,106.0,109.0,26.0,68.0,278.0,778.0,1058.0,454.0,103.0,64.0,257.0,340.0,503.0,370.0,38.0,38.0,119.0,3.0,80.0,119.0,36.0
0.0,8.0,28.0,6.0,0.0,3.0,14.0,11.0,36.0,47.0,19.0,41.0,14.0,69.0,360.0,130.0,104.0,33.0,44.0,191.0,598.0,1000.0,490.0,101.0,12.0,247.0,350.0,327.0,278.0,30.0,8.0,181.0,125.0,1.0,63.0,54.0
1.0,6.0,13.0,1.0,2.0,5.0,5.0,10.0,19.0,29.0,8.0,21.0,6.0,28.0,130.0,73.0,87.0,21.0,17.0,73.0,284.0,410.0,382.0,119.0,13.0,112.0,173.0,200.0,87.0,23.0,8.0,81.0,110.0,45.0,0.0,22.0
0.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,11.0,8.0,7.0,16.0,1.0,16.0,69.0,33.0,30.0,12.0,12.0,46.0,152.0,194.0,159.0,44.0,9.0,45.0,87.0,103.0,105.0,12.0,2.0,24.0,28.0,28.0,23.0,0.0
