wi0,wi1,wi2,wi3,wi4,wi5,wi6,wi7,wi8,wi9,wi10,wi11,wi12,wi13,wi14,wi15,wi16,wi17,wi18,wi19,wi20,wi21,wi22,wi23,wi24,wi25,wi26,wi27,wi28,wi29,wi30,wi31,wi32,wi33,wi34,wi35,wi36,wi37,wi38,wi39,wi40,wi41,wi42,wi43,wi44,wi45,wi46,wi47,wi48
0.0,2.0,5.0,3.0,2.0,0.0,1.0,6.0,8.0,3.0,4.0,0.0,10.0,4.0,1.0,9.0,19.0,18.0,14.0,13.0,13.0,3.0,11.0,106.0,679.0,25.0,42.0,12.0,3.0,22.0,54.0,127.0,110.0,60.0,33.0,5.0,11.0,53.0,39.0,38.0,23.0,3.0,1.0,16.0,21.0,16.0,18.0,10.0,1.0
0.0,2.0,6.0,1.0,2.0,0.0,1.0,3.0,1.0,13.0,7.0,0.0,6.0,6.0,0.0,2.0,5.0,4.0,11.0,11.0,4.0,2.0,10.0,36.0,28.0,11.0,8.0,1.0,4.0,10.0,14.0,42.0,37.0,21.0,10.0,0.0,6.0,16.0,6.0,10.0,14.0,1.0,0.0,5.0,5.0,5.0,4.0,5.0,6.0
0.0,2.0,15.0,4.0,4.0,0.0,1.0,4.0,1.0,18.0,12.0,4.0,2.0,3.0,1.0,6.0,8.0,6.0,15.0,3.0,6.0,5.0,5.0,42.0,42.0,29.0,20.0,4.0,3.0,9.0,21.0,55.0,64.0,42.0,11.0,1.0,5.0,23.0,18.0,13.0,15.0,4.0,0.0,3.0,6.0,3.0,6.0,5.0,1.0
0.0,0.0,21.0,4.0,8.0,2.0,3.0,5.0,0.0,38.0,17.0,9.0,3.0,0.0,1.0,14.0,22.0,24.0,39.0,32.0,11.0,4.0,17.0,186.0,158.0,57.0,70.0,14.0,5.0,29.0,40.0,192.0,201.0,91.0,25.0,6.0,5.0,62.0,42.0,55.0,57.0,0.0,2.0,31.0,25.0,21.0,23.0,15.0,2.0
1.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,3.0,0.0,2.0,1.0,0.0,9.0,3.0,3.0,2.0,1.0,2.0,0.0,12.0,32.0,27.0,13.0,4.0,3.0,3.0,21.0,8.0,33.0,32.0,11.0,1.0,2.0,11.0,14.0,6.0,7.0,2.0,3.0,3.0,3.0,2.0,3.0,6.0,3.0,2.0
2.0,5.0,17.0,0.0,2.0,1.0,0.0,15.0,7.0,20.0,15.0,6.0,2.0,9.0,12.0,0.0,2.0,51.0,35.0,11.0,7.0,11.0,22.0,156.0,181.0,77.0,60.0,14.0,22.0,59.0,121.0,237.0,241.0,97.0,29.0,5.0,21.0,96.0,76.0,59.0,38.0,4.0,2.0,25.0,51.0,22.0,16.0,8.0,7.0
2.0,1.0,47.0,2.0,4.0,2.0,2.0,18.0,16.0,28.0,32.0,4.0,19.0,33.0,6.0,5.0,1.0,16.0,51.0,36.0,8.0,18.0,33.0,143.0,189.0,114.0,99.0,16.0,35.0,103.0,168.0,378.0,368.0,189.0,50.0,22.0,43.0,147.0,104.0,111.0,87.0,3.0,3.0,46.0,64.0,39.0,27.0,27.0,11.0
0.0,1.0,47.0,10.0,5.0,3.0,2.0,2.0,13.0,89.0,132.0,9.0,20.0,35.0,7.0,61.0,28.0,3.0,21.0,29.0,15.0,13.0,70.0,223.0,55.0,69.0,113.0,15.0,23.0,63.0,154.0,355.0,355.0,200.0,65.0,15.0,33.0,140.0,94.0,92.0,73.0,7.0,1.0,45.0,52.0,53.0,28.0,23.0,10.0
0.0,1.0,42.0,2.0,13.0,6.0,10.0,7.0,10.0,62.0,49.0,20.0,39.0,135.0,5.0,44.0,76.0,29.0,4.0,28.0,86.0,9.0,56.0,246.0,111.0,31.0,81.0,13.0,20.0,50.0,106.0,339.0,376.0,220.0,73.0,11.0,22.0,110.0,113.0,109.0,77.0,13.0,2.0,45.0,54.0,35.0,29.0,40.0,16.0
0.0,1.0,24.0,2.0,4.0,2.0,5.0,8.0,4.0,39.0,31.0,4.0,6.0,60.0,0.0,17.0,25.0,32.0,8.0,1.0,11.0,7.0,20.0,159.0,152.0,58.0,67.0,17.0,15.0,25.0,51.0,171.0,211.0,136.0,54.0,7.0,10.0,44.0,48.0,56.0,57.0,5.0,2.0,19.0,38.0,24.0,24.0,22.0,6.0
1.0,2.0,22.0,1.0,4.0,2.0,3.0,3.0,9.0,13.0,16.0,3.0,10.0,6.0,2.0,10.0,10.0,11.0,18.0,4.0,0.0,3.0,9.0,69.0,68.0,43.0,73.0,5.0,4.0,22.0,30.0,83.0,113.0,54.0,22.0,2.0,10.0,27.0,24.0,30.0,36.0,3.0,0.0,7.0,20.0,5.0,12.0,10.0,1.0
0.0,1.0,6.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,6.0,1.0,2.0,3.0,2.0,12.0,10.0,12.0,14.0,11.0,4.0,0.0,7.0,100.0,62.0,8.0,24.0,6.0,4.0,27.0,26.0,76.0,73.0,22.0,9.0,12.0,16.0,43.0,28.0,34.0,14.0,5.0,1.0,16.0,15.0,9.0,7.0,7.0,6.0
0.0,0.0,16.0,2.0,1.0,1.0,0.0,26.0,15.0,36.0,36.0,6.0,3.0,21.0,15.0,40.0,37.0,52.0,23.0,16.0,8.0,15.0,1.0,57.0,336.0,118.0,123.0,11.0,35.0,35.0,154.0,479.0,423.0,147.0,52.0,16.0,48.0,168.0,146.0,83.0,81.0,6.0,8.0,73.0,87.0,56.0,33.0,31.0,9.0
2.0,3.0,80.0,10.0,21.0,3.0,4.0,23.0,22.0,126.0,115.0,18.0,31.0,105.0,36.0,139.0,113.0,127.0,105.0,93.0,45.0,66.0,32.0,40.0,346.0,333.0,375.0,61.0,104.0,128.0,166.0,1095.0,1607.0,576.0,164.0,57.0,154.0,687.0,475.0,392.0,310.0,23.0,20.0,177.0,288.0,227.0,152.0,112.0,50.0
0.0,3.0,79.0,10.0,9.0,8.0,7.0,19.0,30.0,138.0,208.0,20.0,30.0,102.0,15.0,110.0,169.0,34.0,78.0,83.0,61.0,55.0,208.0,240.0,3.0,87.0,461.0,67.0,88.0,328.0,577.0,616.0,1230.0,780.0,215.0,56.0,186.0,667.0,657.0,534.0,391.0,37.0,12.0,344.0,361.0,300.0,144.0,124.0,66.0
4.0,4.0,36.0,6.0,5.0,0.0,1.0,12.0,13.0,73.0,88.0,16.0,30.0,71.0,12.0,66.0,92.0,61.0,27.0,55.0,54.0,16.0,100.0,620.0,176.0,19.0,102.0,73.0,41.0,150.0,311.0,691.0,423.0,306.0,125.0,27.0,75.0,292.0,368.0,365.0,260.0,24.0,8.0,218.0,209.0,154.0,97.0,84.0,29.0
0.0,2.0,42.0,3.0,9.0,3.0,14.0,11.0,8.0,81.0,80.0,14.0,19.0,81.0,4.0,75.0,86.0,106.0,60.0,36.0,69.0,23.0,76.0,540.0,599.0,61.0,3.0,35.0,42.0,137.0,256.0,841.0,609.0,215.0,184.0,27.0,75.0,322.0,266.0,348.0,488.0,58.0,5.0,112.0,170.0,123.0,129.0,130.0,54.0
0.0,1.0,5.0,0.0,4.0,1.0,3.0,3.0,3.0,10.0,8.0,5.0,4.0,16.0,1.0,8.0,19.0,26.0,23.0,13.0,8.0,4.0,9.0,74.0,106.0,58.0,25.0,0.0,10.0,23.0,48.0,130.0,189.0,121.0,35.0,4.0,10.0,50.0,55.0,76.0,67.0,6.0,2.0,19.0,26.0,18.0,27.0,21.0,7.0
1.0,0.0,16.0,2.0,1.0,0.0,1.0,5.0,6.0,23.0,21.0,3.0,7.0,11.0,5.0,20.0,18.0,16.0,20.0,10.0,12.0,8.0,27.0,160.0,202.0,29.0,75.0,15.0,1.0,28.0,131.0,250.0,255.0,115.0,17.0,9.0,31.0,135.0,90.0,74.0,53.0,9.0,8.0,52.0,58.0,45.0,19.0,14.0,7.0
1.0,1.0,24.0,1.0,2.0,0.0,0.0,8.0,9.0,57.0,65.0,9.0,4.0,29.0,20.0,59.0,71.0,67.0,43.0,30.0,16.0,28.0,35.0,176.0,558.0,150.0,176.0,30.0,63.0,6.0,92.0,786.0,752.0,260.0,63.0,57.0,56.0,327.0,242.0,207.0,147.0,11.0,13.0,173.0,130.0,124.0,55.0,42.0,25.0
3.0,4.0,38.0,3.0,3.0,2.0,1.0,23.0,16.0,89.0,115.0,9.0,20.0,43.0,14.0,138.0,157.0,96.0,70.0,45.0,21.0,51.0,149.0,164.0,846.0,318.0,334.0,44.0,153.0,80.0,44.0,848.0,1699.0,634.0,184.0,97.0,130.0,491.0,525.0,410.0,280.0,16.0,25.0,318.0,390.0,249.0,117.0,77.0,31.0
4.0,2.0,91.0,10.0,8.0,2.0,2.0,19.0,32.0,149.0,269.0,18.0,26.0,80.0,18.0,135.0,205.0,187.0,123.0,71.0,33.0,65.0,322.0,1126.0,975.0,447.0,653.0,62.0,185.0,522.0,412.0,44.0,842.0,1011.0,240.0,80.0,260.0,1058.0,796.0,526.0,536.0,31.0,21.0,637.0,746.0,533.0,157.0,136.0,62.0
3.0,3.0,108.0,11.0,7.0,6.0,4.0,26.0,23.0,164.0,234.0,23.0,26.0,152.0,18.0,143.0,239.0,205.0,187.0,148.0,78.0,42.0,252.0,2121.0,1832.0,318.0,678.0,126.0,195.0,549.0,1107.0,548.0,115.0,300.0,487.0,101.0,252.0,1159.0,1103.0,616.0,780.0,70.0,19.0,610.0,717.0,486.0,359.0,246.0,94.0
1.0,4.0,63.0,3.0,4.0,0.0,4.0,20.0,21.0,85.0,117.0,20.0,25.0,84.0,15.0,75.0,111.0,120.0,121.0,114.0,52.0,23.0,98.0,837.0,1008.0,259.0,178.0,93.0,65.0,205.0,439.0,1154.0,341.0,30.0,109.0,36.0,103.0,623.0,500.0,413.0,451.0,84.0,15.0,141.0,235.0,189.0,188.0,242.0,64.0
1.0,0.0,13.0,4.0,2.0,1.0,5.0,8.0,5.0,41.0,39.0,5.0,8.0,30.0,4.0,35.0,40.0,48.0,42.0,33.0,28.0,9.0,44.0,339.0,346.0,118.0,160.0,17.0,31.0,90.0,160.0,462.0,626.0,123.0,0.0,10.0,36.0,194.0,169.0,229.0,231.0,23.0,9.0,64.0,79.0,78.0,76.0,99.0,19.0
0.0,0.0,4.0,1.0,0.0,0.0,0.0,5.0,2.0,9.0,13.0,1.0,1.0,10.0,1.0,5.0,13.0,6.0,4.0,6.0,5.0,9.0,15.0,103.0,76.0,34.0,29.0,4.0,19.0,38.0,63.0,133.0,134.0,60.0,12.0,0.0,33.0,106.0,66.0,48.0,22.0,1.0,4.0,33.0,53.0,23.0,13.0,5.0,3.0
2.0,0.0,10.0,1.0,0.0,1.0,0.0,5.0,1.0,23.0,28.0,3.0,4.0,9.0,8.0,25.0,29.0,29.0,22.0,13.0,18.0,8.0,51.0,256.0,267.0,71.0,63.0,8.0,32.0,46.0,88.0,370.0,330.0,166.0,39.0,55.0,5.0,50.0,173.0,120.0,85.0,9.0,13.0,25.0,76.0,85.0,50.0,25.0,9.0
0.0,4.0,47.0,6.0,1.0,0.0,1.0,18.0,27.0,83.0,154.0,18.0,14.0,43.0,12.0,94.0,120.0,80.0,76.0,31.0,33.0,47.0,141.0,986.0,1077.0,271.0,360.0,32.0,114.0,369.0,372.0,1506.0,1719.0,829.0,174.0,136.0,60.0,73.0,315.0,647.0,593.0,33.0,43.0,240.0,232.0,257.0,175.0,182.0,70.0
0.0,3.0,39.0,6.0,4.0,5.0,7.0,16.0,14.0,66.0,91.0,5.0,11.0,34.0,8.0,54.0,80.0,92.0,56.0,47.0,22.0,27.0,112.0,907.0,953.0,329.0,344.0,40.0,77.0,273.0,375.0,807.0,1190.0,654.0,159.0,59.0,152.0,258.0,7.0,136.0,345.0,32.0,26.0,260.0,275.0,90.0,124.0,129.0,44.0
0.0,4.0,49.0,5.0,7.0,0.0,8.0,10.0,10.0,50.0,91.0,12.0,10.0,38.0,7.0,58.0,88.0,77.0,82.0,57.0,24.0,32.0,96.0,842.0,821.0,373.0,431.0,70.0,47.0,183.0,425.0,978.0,913.0,621.0,237.0,40.0,121.0,702.0,104.0,31.0,162.0,61.0,7.0,185.0,298.0,159.0,94.0,104.0,100.0
1.0,3.0,20.0,0.0,0.0,0.0,4.0,7.0,4.0,35.0,52.0,7.0,11.0,35.0,5.0,30.0,44.0,30.0,37.0,35.0,18.0,5.0,56.0,500.0,476.0,185.0,299.0,66.0,34.0,97.0,240.0,731.0,727.0,385.0,181.0,25.0,76.0,416.0,290.0,114.0,1.0,11.0,9.0,103.0,200.0,148.0,123.0,45.0,81.0
0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,11.0,0.0,4.0,9.0,0.0,8.0,9.0,6.0,3.0,2.0,0.0,2.0,2.0,56.0,44.0,25.0,35.0,10.0,3.0,15.0,19.0,77.0,96.0,52.0,13.0,3.0,6.0,53.0,41.0,30.0,17.0,1.0,2.0,13.0,16.0,18.0,28.0,14.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,11.0,6.0,6.0,5.0,7.0,7.0,19.0,29.0,19.0,13.0,5.0,4.0,11.0,35.0,26.0,7.0,9.0,3.0,0.0,6.0,18.0,10.0,2.0,4.0,2.0
1.0,0.0,5.0,1.0,2.0,0.0,1.0,4.0,3.0,19.0,28.0,1.0,6.0,17.0,4.0,14.0,28.0,22.0,16.0,8.0,9.0,7.0,35.0,245.0,234.0,103.0,87.0,11.0,27.0,97.0,158.0,373.0,440.0,144.0,52.0,26.0,31.0,228.0,255.0,122.0,100.0,11.0,13.0,1.0,21.0,100.0,46.0,44.0,10.0
0.0,4.0,28.0,2.0,0.0,0.0,3.0,6.0,10.0,35.0,51.0,3.0,6.0,31.0,3.0,28.0,43.0,43.0,30.0,15.0,10.0,13.0,48.0,470.0,512.0,154.0,152.0,22.0,49.0,157.0,285.0,857.0,784.0,329.0,65.0,50.0,73.0,266.0,327.0,275.0,267.0,20.0,26.0,43.0,0.0,55.0,91.0,97.0,35.0
0.0,2.0,16.0,1.0,0.0,0.0,1.0,10.0,8.0,23.0,24.0,8.0,4.0,16.0,4.0,19.0,35.0,35.0,23.0,9.0,10.0,8.0,22.0,347.0,433.0,125.0,138.0,21.0,25.0,98.0,193.0,541.0,626.0,217.0,60.0,27.0,61.0,195.0,64.0,128.0,163.0,13.0,14.0,131.0,41.0,2.0,22.0,73.0,30.0
0.0,4.0,14.0,5.0,3.0,0.0,1.0,12.0,4.0,24.0,35.0,8.0,7.0,17.0,3.0,13.0,34.0,27.0,31.0,21.0,11.0,14.0,28.0,249.0,319.0,84.0,135.0,21.0,20.0,69.0,123.0,416.0,475.0,266.0,86.0,9.0,44.0,246.0,132.0,112.0,184.0,16.0,4.0,84.0,140.0,20.0,2.0,47.0,39.0
0.0,0.0,12.0,0.0,1.0,0.0,1.0,5.0,7.0,15.0,24.0,2.0,4.0,14.0,1.0,13.0,17.0,18.0,15.0,10.0,13.0,6.0,17.0,207.0,147.0,71.0,147.0,18.0,12.0,33.0,81.0,183.0,332.0,262.0,96.0,7.0,22.0,152.0,101.0,95.0,45.0,12.0,8.0,50.0,87.0,71.0,21.0,3.0,13.0
0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,10.0,1.0,3.0,8.0,0.0,5.0,7.0,6.0,9.0,9.0,8.0,3.0,13.0,92.0,86.0,32.0,47.0,10.0,10.0,19.0,42.0,103.0,153.0,98.0,36.0,8.0,9.0,58.0,54.0,63.0,69.0,3.0,1.0,12.0,25.0,23.0,19.0,21.0,0.0
