wi0,wi1,wi2,wi3,wi4,wi5,wi6,wi7,wi8,wi9,wi10,wi11,wi12,wi13,wi14,wi15,wi16,wi17,wi18,wi19,wi20,wi21,wi22,wi23,wi24,wi25,wi26,wi27,wi28,wi29,wi30,wi31,wi32,wi33,wi34,wi35,wi36,wi37,wi38,wi39,wi40,wi41,wi42,wi43,wi44,wi45,wi46,wi47,wi48,wi49,wi50,wi51,wi52,wi53,wi54,wi55,wi56,wi57,wi58,wi59,wi60,wi61,wi62,wi63,wi64,wi65,wi66,wi67,wi68,wi69,wi70,wi71,wi72,wi73,wi74,wi75,wi76,wi77,wi78,wi79,wi80,wi81,wi82,wi83,wi84,wi85,wi86,wi87,wi88,wi89,wi90,wi91,wi92,wi93,wi94,wi95,wi96,wi97,wi98,wi99
1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,7.0,1.0,3.0,1.0,1.0,6.0,0.0,1.0,0.0,15.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,2.0,13.0,12.0,2.0,0.0,2.0,1.0,1.0,0.0,5.0,17.0,2.0,9.0,12.0,5.0,11.0,0.0,3.0,2.0,6.0,10.0,11.0,20.0,7.0,7.0,10.0,2.0,0.0,0.0,9.0,2.0,5.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,6.0,5.0,8.0,7.0,1.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,5.0,7.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,11.0,9.0,5.0,5.0,6.0,0.0,0.0,3.0,7.0,24.0,8.0,21.0,13.0,5.0,2.0,3.0,2.0,1.0,16.0,5.0,9.0,23.0,11.0,12.0,10.0,1.0,1.0,0.0,3.0,4.0,11.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,6.0,8.0,4.0,5.0,8.0,7.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0
0.0,0.0,4.0,1.0,1.0,3.0,11.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,8.0,1.0,2.0,0.0,2.0,6.0,4.0,10.0,8.0,4.0,24.0,4.0,0.0,0.0,36.0,6.0,14.0,6.0,3.0,5.0,3.0,0.0,1.0,2.0,8.0,8.0,61.0,25.0,28.0,13.0,16.0,4.0,1.0,9.0,13.0,88.0,35.0,72.0,62.0,20.0,12.0,4.0,12.0,5.0,52.0,30.0,63.0,92.0,84.0,64.0,19.0,5.0,5.0,2.0,20.0,29.0,27.0,21.0,28.0,8.0,7.0,1.0,6.0,2.0,25.0,47.0,15.0,28.0,17.0,15.0,20.0,0.0,0.0,1.0,7.0,2.0,6.0,1.0,9.0,2.0,2.0,1.0
0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,8.0,1.0,1.0,0.0,6.0,2.0,0.0,2.0,3.0,8.0,13.0,3.0,0.0,0.0,13.0,1.0,8.0,2.0,6.0,1.0,0.0,0.0,1.0,1.0,8.0,5.0,41.0,20.0,18.0,9.0,15.0,2.0,3.0,3.0,7.0,93.0,16.0,26.0,38.0,10.0,6.0,3.0,0.0,4.0,11.0,18.0,31.0,51.0,26.0,30.0,15.0,5.0,2.0,0.0,4.0,8.0,15.0,1.0,12.0,6.0,1.0,1.0,0.0,0.0,27.0,20.0,5.0,12.0,8.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,12.0,2.0,6.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,7.0,6.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,8.0,2.0,0.0,0.0,0.0,2.0,2.0,7.0,5.0,7.0,11.0,4.0,0.0,0.0,1.0,1.0,4.0,3.0,5.0,6.0,6.0,5.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,4.0,3.0,0.0,1.0,4.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,2.0,14.0,9.0,17.0,2.0,1.0,1.0,0.0,1.0,4.0,25.0,5.0,7.0,20.0,3.0,4.0,1.0,2.0,3.0,7.0,8.0,14.0,13.0,21.0,16.0,8.0,1.0,0.0,2.0,2.0,7.0,4.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,6.0,6.0,6.0,4.0,2.0,4.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,4.0,17.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0,3.0,2.0,7.0,2.0,1.0,0.0,1.0,1.0,14.0,7.0,10.0,12.0,13.0,0.0,0.0,1.0,7.0,27.0,4.0,14.0,14.0,10.0,1.0,1.0,2.0,0.0,4.0,8.0,21.0,22.0,10.0,11.0,7.0,1.0,0.0,0.0,1.0,4.0,2.0,3.0,5.0,3.0,1.0,1.0,0.0,0.0,8.0,4.0,6.0,1.0,3.0,5.0,3.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,15.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,5.0,15.0,2.0,14.0,13.0,0.0,0.0,1.0,4.0,0.0,5.0,1.0,12.0,17.0,14.0,7.0,0.0,1.0,1.0,0.0,2.0,3.0,5.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,5.0,7.0,4.0,5.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,8.0,3.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,9.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,13.0,7.0,31.0,11.0,12.0,4.0,4.0,2.0,3.0,2.0,6.0,34.0,7.0,14.0,21.0,4.0,4.0,1.0,4.0,2.0,6.0,12.0,22.0,23.0,14.0,12.0,4.0,3.0,0.0,0.0,7.0,4.0,8.0,1.0,7.0,4.0,1.0,0.0,0.0,0.0,10.0,14.0,4.0,7.0,6.0,2.0,10.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,0.0
0.0,0.0,0.0,31.0,19.0,1.0,3.0,0.0,1.0,0.0,8.0,0.0,3.0,4.0,2.0,1.0,3.0,1.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0,2.0,7.0,7.0,16.0,8.0,1.0,0.0,17.0,0.0,1.0,1.0,4.0,4.0,5.0,2.0,2.0,1.0,19.0,4.0,74.0,34.0,26.0,15.0,16.0,4.0,1.0,3.0,15.0,103.0,28.0,41.0,62.0,14.0,14.0,1.0,2.0,7.0,21.0,17.0,62.0,67.0,76.0,34.0,21.0,5.0,3.0,4.0,10.0,8.0,18.0,10.0,23.0,6.0,6.0,1.0,4.0,1.0,18.0,26.0,17.0,21.0,17.0,12.0,9.0,0.0,0.0,1.0,7.0,3.0,6.0,1.0,11.0,3.0,6.0,1.0
0.0,0.0,2.0,8.0,6.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,6.0,5.0,0.0,1.0,6.0,4.0,0.0,2.0,4.0,3.0,1.0,1.0,0.0,1.0,9.0,8.0,34.0,18.0,22.0,7.0,13.0,0.0,1.0,2.0,9.0,37.0,9.0,26.0,29.0,9.0,7.0,0.0,2.0,2.0,20.0,13.0,25.0,26.0,23.0,29.0,7.0,3.0,2.0,0.0,11.0,7.0,16.0,7.0,11.0,4.0,4.0,0.0,3.0,1.0,5.0,6.0,7.0,8.0,2.0,7.0,6.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,7.0,1.0,0.0,3.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,8.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,4.0,4.0,608.0,5.0,10.0,10.0,0.0,1.0,2.0,2.0,10.0,17.0,13.0,28.0,17.0,5.0,5.0,1.0,1.0,2.0,14.0,15.0,24.0,27.0,20.0,11.0,15.0,5.0,1.0,1.0,1.0,8.0,10.0,9.0,10.0,3.0,0.0,0.0,1.0,2.0,4.0,10.0,15.0,12.0,14.0,7.0,1.0,1.0,0.0,1.0,2.0,3.0,10.0,1.0,6.0,2.0,0.0,1.0
0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,3.0,9.0,5.0,0.0,0.0,1.0,9.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,5.0,5.0,23.0,10.0,8.0,5.0,6.0,1.0,0.0,1.0,6.0,52.0,13.0,14.0,12.0,5.0,6.0,1.0,3.0,2.0,9.0,8.0,14.0,30.0,19.0,17.0,9.0,2.0,0.0,0.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,12.0,10.0,4.0,9.0,3.0,9.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0
0.0,0.0,2.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,10.0,2.0,2.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,0.0,2.0,7.0,0.0,0.0,4.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,4.0,2.0,15.0,3.0,7.0,9.0,5.0,0.0,0.0,3.0,7.0,32.0,4.0,15.0,22.0,7.0,10.0,1.0,4.0,2.0,8.0,7.0,14.0,40.0,17.0,17.0,4.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0,2.0,2.0,0.0,3.0,1.0,8.0,5.0,3.0,8.0,12.0,6.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0
1.0,0.0,0.0,10.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,0.0,6.0,22.0,10.0,3.0,5.0,2.0,0.0,7.0,1.0,0.0,1.0,17.0,3.0,10.0,8.0,2.0,0.0,0.0,1.0,0.0,19.0,4.0,14.0,6.0,5.0,4.0,0.0,0.0,1.0,3.0,9.0,4.0,97.0,32.0,33.0,24.0,23.0,9.0,3.0,3.0,20.0,119.0,16.0,53.0,87.0,24.0,23.0,0.0,3.0,4.0,12.0,25.0,38.0,101.0,63.0,62.0,13.0,10.0,2.0,0.0,9.0,31.0,17.0,13.0,17.0,12.0,6.0,0.0,4.0,1.0,22.0,19.0,18.0,26.0,8.0,13.0,24.0,0.0,1.0,1.0,5.0,5.0,7.0,0.0,6.0,6.0,1.0,0.0
0.0,0.0,0.0,4.0,2.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,9.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,5.0,0.0,4.0,6.0,2.0,0.0,1.0,2.0,8.0,4.0,58.0,16.0,8.0,9.0,9.0,4.0,0.0,0.0,10.0,79.0,10.0,44.0,62.0,19.0,6.0,2.0,0.0,2.0,19.0,9.0,33.0,38.0,33.0,21.0,15.0,4.0,1.0,0.0,3.0,5.0,7.0,3.0,10.0,7.0,3.0,0.0,3.0,1.0,6.0,6.0,6.0,10.0,11.0,6.0,7.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,14.0,2.0,1.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,4.0,4.0,9.0,1.0,0.0,0.0,1.0,7.0,6.0,1.0,6.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,1.0,3.0,1.0,0.0,1.0,1.0,5.0,1.0,3.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,5.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,6.0,15.0,1.0,0.0,1.0,0.0,0.0,3.0,8.0,0.0,0.0,4.0,4.0,8.0,9.0,4.0,6.0,8.0,7.0,0.0,1.0,0.0,21.0,2.0,2.0,2.0,2.0,2.0,10.0,5.0,3.0,6.0,141.0,56.0,39.0,22.0,13.0,7.0,7.0,13.0,31.0,131.0,41.0,80.0,108.0,28.0,18.0,0.0,14.0,12.0,68.0,59.0,98.0,141.0,91.0,68.0,35.0,2.0,4.0,2.0,31.0,34.0,30.0,27.0,30.0,16.0,11.0,3.0,3.0,1.0,46.0,56.0,17.0,36.0,18.0,14.0,17.0,0.0,0.0,2.0,4.0,7.0,7.0,6.0,10.0,0.0,0.0,2.0
