wi0,wi1,wi2,wi3,wi4,wi5,wi6,wi7,wi8,wi9,wi10,wi11,wi12,wi13,wi14,wi15,wi16,wi17,wi18,wi19,wi20,wi21,wi22,wi23,wi24,wi25,wi26,wi27,wi28,wi29,wi30,wi31,wi32,wi33,wi34,wi35,wi36,wi37,wi38,wi39,wi40,wi41,wi42,wi43,wi44,wi45,wi46,wi47,wi48,wi49,wi50,wi51,wi52,wi53,wi54,wi55,wi56,wi57,wi58,wi59,wi60,wi61,wi62,wi63,wi64,wi65,wi66,wi67,wi68,wi69,wi70,wi71,wi72,wi73,wi74,wi75,wi76,wi77,wi78,wi79,wi80,wi81,wi82,wi83,wi84,wi85,wi86,wi87,wi88,wi89,wi90,wi91,wi92,wi93,wi94,wi95,wi96,wi97,wi98,wi99,wi100,wi101,wi102,wi103,wi104,wi105,wi106,wi107,wi108,wi109,wi110,wi111,wi112,wi113,wi114,wi115,wi116,wi117,wi118,wi119,wi120
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,7.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,9.0,0.0,8.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,22.0,1.0,16.0,5.0,0.0,4.0,5.0,1.0,3.0,1.0,4.0,2.0,8.0,15.0,14.0,7.0,6.0,11.0,2.0,1.0,1.0,2.0,8.0,9.0,10.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,7.0,2.0,2.0,5.0,3.0,0.0,0.0,1.0,3.0,3.0,6.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,12.0,0.0,17.0,0.0,6.0,3.0,5.0,3.0,1.0,1.0,5.0,6.0,1.0,24.0,11.0,8.0,3.0,6.0,0.0,1.0,1.0,1.0,3.0,6.0,3.0,2.0,8.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,9.0,2.0,0.0,0.0,11.0,4.0,3.0,7.0,2.0,5.0,2.0,2.0,2.0,0.0,0.0,7.0,6.0,3.0,21.0,9.0,9.0,0.0,0.0,1.0,0.0,3.0,1.0,49.0,11.0,51.0,9.0,16.0,13.0,8.0,3.0,3.0,3.0,21.0,13.0,17.0,55.0,47.0,26.0,10.0,13.0,3.0,5.0,3.0,3.0,18.0,14.0,15.0,23.0,18.0,9.0,2.0,1.0,1.0,2.0,7.0,19.0,14.0,16.0,12.0,4.0,9.0,8.0,0.0,4.0,0.0,9.0,16.0,16.0,11.0,6.0,3.0,6.0,1.0,0.0,0.0,1.0,3.0,2.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0
0.0,0.0,5.0,2.0,1.0,2.0,8.0,3.0,2.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,8.0,2.0,1.0,0.0,6.0,2.0,1.0,10.0,0.0,2.0,5.0,14.0,1.0,0.0,0.0,14.0,3.0,8.0,5.0,9.0,8.0,0.0,11.0,0.0,2.0,0.0,5.0,15.0,5.0,30.0,15.0,4.0,2.0,1.0,0.0,2.0,8.0,11.0,113.0,17.0,68.0,16.0,25.0,17.0,18.0,2.0,7.0,4.0,13.0,19.0,21.0,91.0,86.0,18.0,28.0,14.0,11.0,4.0,1.0,10.0,20.0,19.0,31.0,35.0,40.0,7.0,2.0,2.0,2.0,1.0,11.0,30.0,6.0,22.0,16.0,17.0,8.0,10.0,1.0,1.0,0.0,22.0,17.0,11.0,20.0,8.0,5.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,5.0,3.0,3.0,3.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,6.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,45.0,4.0,25.0,4.0,6.0,8.0,5.0,1.0,0.0,0.0,3.0,2.0,7.0,22.0,22.0,8.0,5.0,9.0,2.0,0.0,1.0,2.0,5.0,5.0,13.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,3.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,6.0,4.0,6.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,7.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,9.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,7.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,2.0,11.0,3.0,5.0,4.0,2.0,0.0,0.0,4.0,1.0,3.0,3.0,11.0,18.0,9.0,4.0,5.0,1.0,2.0,0.0,4.0,2.0,6.0,7.0,6.0,12.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,2.0,10.0,12.0,2.0,1.0,0.0,4.0,0.0,1.0,8.0,7.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,30.0,3.0,13.0,11.0,6.0,13.0,10.0,0.0,0.0,0.0,1.0,4.0,5.0,33.0,17.0,6.0,9.0,3.0,1.0,2.0,0.0,1.0,3.0,9.0,6.0,7.0,6.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,5.0,2.0,2.0,1.0,6.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,9.0,4.0,13.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,3.0,5.0,3.0,14.0,17.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,7.0,6.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,5.0,1.0,1.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,4.0,3.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,3.0,8.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,10.0,24.0,5.0,17.0,6.0,8.0,2.0,2.0,3.0,4.0,1.0,0.0,3.0,3.0,20.0,17.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,5.0,11.0,5.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0
0.0,0.0,0.0,6.0,22.0,2.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,7.0,5.0,1.0,0.0,3.0,2.0,0.0,0.0,3.0,6.0,2.0,4.0,2.0,3.0,1.0,9.0,5.0,1.0,25.0,8.0,8.0,0.0,1.0,2.0,0.0,2.0,7.0,81.0,15.0,79.0,13.0,17.0,15.0,11.0,1.0,1.0,2.0,4.0,9.0,16.0,54.0,72.0,20.0,15.0,16.0,3.0,3.0,5.0,5.0,8.0,27.0,23.0,20.0,20.0,5.0,1.0,1.0,1.0,0.0,7.0,18.0,9.0,10.0,8.0,6.0,4.0,6.0,1.0,1.0,1.0,8.0,9.0,11.0,11.0,3.0,9.0,3.0,2.0,0.0,0.0,0.0,5.0,2.0,3.0,4.0,5.0,7.0,4.0,2.0,1.0
