wi0,wi1,wi2,wi3,wi4,wi5,wi6,wi7,wi8,wi9,wi10,wi11,wi12,wi13,wi14,wi15,wi16,wi17,wi18,wi19,wi20,wi21,wi22,wi23,wi24,wi25,wi26,wi27,wi28,wi29,wi30,wi31,wi32,wi33,wi34,wi35,wi36,wi37,wi38,wi39,wi40,wi41,wi42,wi43,wi44,wi45,wi46,wi47,wi48,wi49,wi50,wi51,wi52,wi53,wi54,wi55,wi56,wi57,wi58,wi59,wi60,wi61,wi62,wi63
0.0,3.0,7.0,5.0,6.0,11.0,2.0,1.0,6.0,0.0,0.0,0.0,4.0,7.0,16.0,12.0,2.0,17.0,23.0,6.0,6.0,13.0,16.0,14.0,4.0,6.0,16.0,73.0,35.0,33.0,23.0,6.0,6.0,26.0,120.0,83.0,101.0,94.0,27.0,17.0,14.0,27.0,58.0,45.0,88.0,91.0,15.0,13.0,6.0,11.0,64.0,20.0,38.0,19.0,25.0,1.0,1.0,6.0,15.0,8.0,7.0,15.0,8.0,4.0
0.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,5.0,10.0,9.0,0.0,5.0,12.0,6.0,2.0,12.0,4.0,4.0,0.0,2.0,16.0,49.0,22.0,20.0,19.0,3.0,6.0,5.0,100.0,32.0,59.0,45.0,19.0,13.0,1.0,4.0,24.0,31.0,43.0,49.0,8.0,10.0,4.0,11.0,28.0,8.0,10.0,8.0,10.0,1.0,0.0,6.0,4.0,2.0,2.0,4.0,3.0,0.0
0.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,2.0,0.0,5.0,2.0,1.0,2.0,1.0,2.0,588.0,1.0,6.0,3.0,0.0,0.0,2.0,8.0,4.0,14.0,5.0,2.0,1.0,0.0,0.0,4.0,2.0,4.0,8.0,2.0,1.0,1.0,1.0,6.0,4.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0
0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,5.0,0.0,0.0,4.0,1.0,0.0,1.0,4.0,2.0,1.0,3.0,6.0,1.0,0.0,0.0,1.0,5.0,1.0,9.0,3.0,0.0,1.0,3.0,10.0,6.0,9.0,4.0,5.0,0.0,1.0,2.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0
0.0,0.0,9.0,2.0,3.0,0.0,0.0,3.0,2.0,0.0,5.0,4.0,8.0,0.0,0.0,0.0,2.0,3.0,18.0,6.0,7.0,4.0,0.0,6.0,4.0,0.0,3.0,27.0,14.0,21.0,3.0,5.0,1.0,5.0,48.0,14.0,43.0,36.0,11.0,4.0,3.0,13.0,23.0,9.0,25.0,38.0,9.0,5.0,0.0,5.0,10.0,12.0,17.0,7.0,13.0,0.0,0.0,3.0,16.0,4.0,1.0,6.0,0.0,0.0
0.0,0.0,14.0,8.0,4.0,4.0,1.0,1.0,8.0,0.0,14.0,5.0,9.0,3.0,5.0,0.0,0.0,8.0,16.0,15.0,9.0,23.0,31.0,5.0,2.0,10.0,9.0,82.0,37.0,40.0,25.0,11.0,4.0,16.0,142.0,53.0,153.0,86.0,40.0,17.0,3.0,11.0,28.0,31.0,63.0,58.0,12.0,10.0,4.0,12.0,36.0,24.0,29.0,27.0,22.0,1.0,1.0,7.0,17.0,2.0,7.0,7.0,6.0,1.0
1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,10.0,6.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,6.0,14.0,6.0,6.0,0.0,1.0,2.0,10.0,23.0,11.0,24.0,14.0,3.0,2.0,1.0,5.0,8.0,13.0,10.0,6.0,2.0,2.0,2.0,3.0,12.0,3.0,6.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,2.0
1.0,2.0,10.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,4.0,2.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,16.0,4.0,2.0,4.0,2.0,4.0,2.0,8.0,52.0,28.0,10.0,7.0,3.0,3.0,16.0,74.0,30.0,65.0,48.0,14.0,1.0,5.0,15.0,15.0,23.0,36.0,34.0,9.0,6.0,1.0,7.0,23.0,9.0,14.0,3.0,4.0,1.0,0.0,4.0,9.0,2.0,7.0,3.0,1.0,0.0
3.0,1.0,45.0,20.0,3.0,3.0,2.0,1.0,26.0,10.0,13.0,3.0,16.0,5.0,6.0,30.0,12.0,4.0,0.0,11.0,10.0,22.0,14.0,9.0,17.0,12.0,26.0,165.0,98.0,78.0,42.0,8.0,18.0,62.0,276.0,140.0,292.0,202.0,76.0,9.0,16.0,35.0,125.0,104.0,179.0,180.0,29.0,31.0,9.0,28.0,118.0,39.0,75.0,56.0,27.0,10.0,4.0,8.0,35.0,13.0,24.0,16.0,6.0,4.0
0.0,0.0,32.0,13.0,2.0,2.0,1.0,4.0,4.0,3.0,16.0,7.0,5.0,4.0,6.0,4.0,0.0,13.0,8.0,0.0,0.0,25.0,10.0,7.0,3.0,8.0,22.0,23.0,26.0,42.0,20.0,4.0,11.0,17.0,115.0,52.0,132.0,92.0,36.0,9.0,7.0,20.0,60.0,61.0,47.0,89.0,12.0,13.0,4.0,13.0,44.0,27.0,35.0,15.0,13.0,0.0,0.0,7.0,17.0,5.0,9.0,15.0,3.0,6.0
0.0,0.0,5.0,5.0,1.0,4.0,1.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,5.0,6.0,1.0,2.0,17.0,3.0,0.0,2.0,10.0,4.0,4.0,6.0,15.0,33.0,6.0,14.0,9.0,4.0,6.0,17.0,66.0,39.0,92.0,46.0,20.0,12.0,3.0,8.0,38.0,30.0,62.0,50.0,9.0,10.0,2.0,8.0,26.0,24.0,28.0,16.0,12.0,0.0,0.0,5.0,11.0,16.0,6.0,8.0,3.0,2.0
0.0,2.0,15.0,8.0,3.0,6.0,0.0,5.0,5.0,2.0,12.0,14.0,4.0,2.0,20.0,48.0,2.0,9.0,38.0,20.0,2.0,0.0,8.0,34.0,3.0,15.0,20.0,92.0,24.0,20.0,21.0,9.0,11.0,15.0,147.0,61.0,138.0,110.0,62.0,15.0,7.0,13.0,40.0,51.0,66.0,105.0,16.0,29.0,2.0,15.0,33.0,21.0,36.0,30.0,33.0,2.0,2.0,5.0,14.0,11.0,6.0,11.0,10.0,11.0
0.0,0.0,17.0,5.0,3.0,1.0,0.0,8.0,8.0,0.0,15.0,8.0,8.0,4.0,1.0,31.0,0.0,7.0,25.0,15.0,6.0,2.0,0.0,1.0,1.0,5.0,10.0,77.0,29.0,42.0,17.0,10.0,3.0,8.0,129.0,37.0,98.0,93.0,36.0,13.0,4.0,8.0,35.0,25.0,56.0,74.0,20.0,10.0,6.0,3.0,32.0,14.0,29.0,14.0,34.0,0.0,0.0,1.0,14.0,9.0,8.0,5.0,6.0,3.0
0.0,2.0,12.0,6.0,3.0,3.0,0.0,7.0,0.0,2.0,11.0,4.0,2.0,1.0,4.0,6.0,0.0,2.0,16.0,3.0,4.0,19.0,3.0,0.0,3.0,2.0,4.0,59.0,29.0,37.0,16.0,2.0,1.0,8.0,104.0,30.0,92.0,78.0,42.0,5.0,4.0,9.0,20.0,17.0,38.0,57.0,14.0,13.0,0.0,7.0,24.0,15.0,17.0,15.0,12.0,0.0,2.0,1.0,10.0,2.0,3.0,12.0,4.0,0.0
0.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,5.0,8.0,6.0,4.0,2.0,6.0,4.0,0.0,2.0,10.0,29.0,8.0,12.0,2.0,3.0,2.0,20.0,75.0,23.0,37.0,40.0,8.0,3.0,4.0,16.0,27.0,17.0,20.0,22.0,7.0,4.0,9.0,1.0,18.0,8.0,16.0,8.0,8.0,0.0,1.0,2.0,10.0,0.0,4.0,1.0,1.0,1.0
0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,12.0,7.0,10.0,1.0,0.0,4.0,7.0,5.0,21.0,17.0,13.0,7.0,6.0,6.0,7.0,0.0,2.0,84.0,31.0,26.0,9.0,3.0,11.0,7.0,50.0,50.0,110.0,101.0,27.0,4.0,10.0,27.0,47.0,78.0,62.0,43.0,9.0,9.0,6.0,17.0,46.0,14.0,30.0,15.0,15.0,1.0,1.0,9.0,13.0,6.0,10.0,4.0,2.0,0.0
0.0,1.0,31.0,8.0,3.0,4.0,0.0,4.0,26.0,6.0,15.0,21.0,33.0,6.0,11.0,13.0,10.0,17.0,31.0,25.0,19.0,23.0,31.0,18.0,34.0,4.0,0.0,100.0,103.0,135.0,47.0,13.0,38.0,59.0,35.0,120.0,409.0,274.0,90.0,22.0,14.0,58.0,189.0,170.0,228.0,204.0,39.0,37.0,15.0,74.0,167.0,67.0,127.0,63.0,64.0,2.0,9.0,26.0,53.0,24.0,29.0,23.0,16.0,7.0
0.0,1.0,50.0,15.0,7.0,9.0,3.0,8.0,9.0,8.0,55.0,56.0,112.0,4.0,27.0,71.0,2.0,41.0,144.0,15.0,28.0,32.0,52.0,48.0,33.0,47.0,48.0,0.0,2.0,155.0,77.0,21.0,45.0,175.0,237.0,94.0,320.0,555.0,220.0,79.0,42.0,123.0,333.0,362.0,443.0,589.0,104.0,89.0,16.0,104.0,325.0,245.0,303.0,164.0,157.0,4.0,4.0,40.0,119.0,89.0,61.0,46.0,19.0,25.0
3.0,2.0,32.0,5.0,3.0,5.0,1.0,1.0,8.0,6.0,25.0,24.0,69.0,6.0,8.0,33.0,3.0,37.0,115.0,22.0,14.0,30.0,33.0,36.0,17.0,44.0,71.0,3.0,0.0,21.0,46.0,21.0,23.0,55.0,322.0,130.0,148.0,205.0,139.0,38.0,18.0,46.0,164.0,171.0,375.0,311.0,64.0,57.0,18.0,94.0,124.0,89.0,153.0,87.0,95.0,7.0,1.0,22.0,60.0,18.0,36.0,24.0,11.0,5.0
1.0,0.0,32.0,18.0,3.0,8.0,1.0,22.0,6.0,3.0,31.0,26.0,72.0,13.0,35.0,127.0,7.0,34.0,137.0,67.0,28.0,18.0,108.0,98.0,16.0,41.0,105.0,243.0,27.0,0.0,22.0,31.0,32.0,108.0,475.0,268.0,466.0,142.0,127.0,59.0,18.0,59.0,175.0,216.0,423.0,530.0,102.0,85.0,19.0,87.0,222.0,116.0,246.0,161.0,152.0,11.0,3.0,28.0,71.0,51.0,57.0,55.0,31.0,15.0
0.0,0.0,5.0,1.0,0.0,1.0,0.0,9.0,3.0,0.0,6.0,8.0,7.0,4.0,5.0,14.0,1.0,15.0,27.0,13.0,8.0,7.0,6.0,18.0,6.0,11.0,13.0,72.0,43.0,11.0,0.0,4.0,8.0,25.0,106.0,76.0,194.0,111.0,13.0,17.0,7.0,13.0,57.0,62.0,116.0,176.0,57.0,55.0,5.0,27.0,68.0,35.0,56.0,46.0,57.0,2.0,0.0,18.0,29.0,15.0,18.0,22.0,7.0,9.0
0.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,4.0,2.0,6.0,0.0,3.0,12.0,0.0,3.0,11.0,8.0,6.0,9.0,11.0,6.0,1.0,1.0,6.0,53.0,27.0,35.0,1.0,0.0,7.0,6.0,51.0,34.0,80.0,73.0,34.0,14.0,6.0,11.0,29.0,24.0,40.0,72.0,16.0,19.0,2.0,10.0,20.0,10.0,20.0,26.0,29.0,1.0,0.0,7.0,12.0,8.0,16.0,3.0,4.0,2.0
1.0,0.0,7.0,4.0,0.0,0.0,0.0,1.0,5.0,5.0,10.0,2.0,9.0,1.0,4.0,7.0,5.0,7.0,27.0,10.0,9.0,8.0,10.0,8.0,2.0,12.0,20.0,101.0,37.0,39.0,16.0,11.0,0.0,3.0,179.0,77.0,131.0,99.0,39.0,10.0,3.0,19.0,60.0,51.0,120.0,109.0,12.0,12.0,11.0,35.0,69.0,66.0,51.0,23.0,33.0,2.0,0.0,12.0,27.0,12.0,14.0,10.0,4.0,7.0
0.0,1.0,7.0,4.0,0.0,0.0,1.0,1.0,3.0,7.0,13.0,3.0,27.0,0.0,1.0,14.0,5.0,32.0,61.0,18.0,12.0,20.0,10.0,8.0,20.0,5.0,30.0,234.0,84.0,65.0,29.0,9.0,5.0,0.0,37.0,192.0,417.0,289.0,77.0,25.0,20.0,12.0,101.0,157.0,184.0,183.0,34.0,27.0,17.0,87.0,187.0,84.0,116.0,59.0,42.0,2.0,3.0,28.0,58.0,28.0,27.0,17.0,8.0,7.0
2.0,3.0,56.0,18.0,11.0,7.0,1.0,5.0,26.0,13.0,61.0,61.0,61.0,3.0,29.0,95.0,21.0,94.0,272.0,69.0,38.0,78.0,64.0,38.0,57.0,62.0,38.0,403.0,240.0,284.0,147.0,49.0,134.0,20.0,0.0,65.0,1391.0,1204.0,358.0,137.0,108.0,131.0,235.0,433.0,818.0,833.0,136.0,114.0,50.0,215.0,631.0,407.0,451.0,232.0,200.0,11.0,13.0,72.0,247.0,132.0,107.0,76.0,48.0,44.0
2.0,2.0,49.0,9.0,10.0,1.0,0.0,3.0,15.0,12.0,54.0,45.0,88.0,6.0,9.0,29.0,6.0,40.0,136.0,56.0,53.0,31.0,36.0,29.0,35.0,58.0,98.0,63.0,87.0,173.0,81.0,23.0,83.0,228.0,51.0,0.0,28.0,462.0,280.0,54.0,45.0,139.0,275.0,117.0,217.0,632.0,91.0,70.0,39.0,191.0,457.0,267.0,388.0,164.0,127.0,2.0,7.0,54.0,124.0,85.0,68.0,42.0,27.0,21.0
2.0,0.0,46.0,18.0,0.0,4.0,1.0,3.0,10.0,8.0,45.0,34.0,108.0,5.0,20.0,82.0,13.0,65.0,164.0,52.0,76.0,74.0,56.0,40.0,21.0,58.0,189.0,436.0,132.0,182.0,221.0,38.0,80.0,247.0,1372.0,22.0,0.0,64.0,357.0,109.0,40.0,182.0,648.0,361.0,182.0,428.0,139.0,117.0,42.0,617.0,772.0,361.0,1004.0,279.0,272.0,14.0,9.0,42.0,244.0,116.0,91.0,60.0,41.0,31.0
1.0,2.0,54.0,17.0,2.0,5.0,1.0,8.0,16.0,9.0,42.0,35.0,68.0,16.0,21.0,90.0,6.0,42.0,176.0,60.0,48.0,61.0,65.0,67.0,23.0,61.0,139.0,639.0,167.0,93.0,86.0,60.0,65.0,195.0,1008.0,426.0,125.0,0.0,39.0,165.0,66.0,134.0,417.0,536.0,419.0,217.0,110.0,170.0,28.0,196.0,474.0,325.0,488.0,341.0,305.0,13.0,7.0,44.0,205.0,115.0,109.0,98.0,61.0,32.0
0.0,1.0,22.0,7.0,4.0,4.0,0.0,5.0,17.0,5.0,27.0,12.0,31.0,0.0,15.0,35.0,3.0,17.0,64.0,40.0,25.0,37.0,30.0,34.0,13.0,34.0,50.0,327.0,109.0,85.0,13.0,38.0,32.0,72.0,474.0,211.0,481.0,68.0,0.0,41.0,21.0,47.0,184.0,178.0,300.0,233.0,32.0,37.0,18.0,45.0,195.0,98.0,207.0,196.0,277.0,9.0,6.0,15.0,67.0,44.0,60.0,58.0,46.0,17.0
0.0,1.0,8.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,6.0,10.0,14.0,0.0,5.0,13.0,0.0,7.0,23.0,13.0,10.0,19.0,10.0,15.0,4.0,2.0,18.0,147.0,58.0,64.0,23.0,6.0,14.0,28.0,206.0,101.0,249.0,232.0,52.0,0.0,9.0,22.0,85.0,92.0,154.0,275.0,39.0,6.0,3.0,18.0,98.0,66.0,95.0,79.0,121.0,8.0,1.0,13.0,34.0,14.0,18.0,25.0,13.0,9.0
0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,5.0,3.0,1.0,6.0,8.0,1.0,4.0,3.0,12.0,2.0,5.0,1.0,16.0,42.0,14.0,20.0,16.0,8.0,8.0,14.0,101.0,48.0,86.0,67.0,29.0,6.0,0.0,7.0,59.0,48.0,48.0,55.0,9.0,4.0,2.0,13.0,72.0,31.0,36.0,17.0,18.0,1.0,6.0,10.0,37.0,13.0,4.0,7.0,3.0,1.0
1.0,0.0,13.0,1.0,1.0,2.0,0.0,0.0,5.0,0.0,12.0,6.0,28.0,1.0,2.0,9.0,4.0,10.0,40.0,16.0,11.0,15.0,12.0,7.0,12.0,9.0,29.0,156.0,41.0,39.0,20.0,8.0,20.0,18.0,132.0,89.0,209.0,167.0,61.0,19.0,15.0,0.0,21.0,111.0,141.0,148.0,24.0,19.0,20.0,30.0,83.0,107.0,107.0,49.0,44.0,1.0,9.0,43.0,67.0,36.0,16.0,14.0,11.0,5.0
4.0,4.0,27.0,8.0,1.0,1.0,0.0,2.0,15.0,6.0,23.0,22.0,52.0,9.0,16.0,20.0,11.0,34.0,107.0,31.0,37.0,24.0,23.0,14.0,29.0,43.0,130.0,502.0,134.0,142.0,77.0,17.0,68.0,99.0,257.0,270.0,993.0,524.0,181.0,58.0,101.0,12.0,0.0,88.0,588.0,621.0,97.0,87.0,64.0,173.0,205.0,202.0,369.0,201.0,148.0,9.0,14.0,83.0,211.0,107.0,70.0,39.0,29.0,10.0
0.0,1.0,28.0,11.0,4.0,1.0,1.0,4.0,9.0,9.0,44.0,24.0,84.0,3.0,14.0,27.0,5.0,32.0,129.0,64.0,38.0,28.0,32.0,11.0,25.0,56.0,129.0,754.0,186.0,209.0,111.0,14.0,74.0,189.0,659.0,134.0,605.0,749.0,218.0,68.0,52.0,138.0,75.0,0.0,61.0,627.0,111.0,85.0,47.0,256.0,374.0,107.0,300.0,209.0,175.0,15.0,14.0,81.0,281.0,123.0,78.0,44.0,40.0,18.0
1.0,1.0,47.0,9.0,1.0,1.0,0.0,2.0,5.0,8.0,40.0,19.0,52.0,4.0,13.0,33.0,6.0,28.0,118.0,31.0,51.0,42.0,37.0,27.0,19.0,33.0,123.0,859.0,245.0,283.0,133.0,37.0,57.0,161.0,1155.0,227.0,245.0,331.0,332.0,105.0,46.0,108.0,431.0,49.0,0.0,116.0,129.0,133.0,36.0,349.0,569.0,234.0,502.0,166.0,255.0,7.0,7.0,39.0,197.0,131.0,139.0,87.0,34.0,23.0
1.0,1.0,50.0,18.0,3.0,1.0,1.0,8.0,12.0,6.0,43.0,31.0,64.0,5.0,22.0,43.0,3.0,39.0,115.0,48.0,45.0,62.0,60.0,48.0,22.0,30.0,112.0,795.0,197.0,312.0,174.0,50.0,63.0,136.0,1023.0,572.0,637.0,216.0,193.0,169.0,40.0,103.0,453.0,520.0,177.0,0.0,30.0,198.0,35.0,174.0,576.0,326.0,411.0,168.0,289.0,25.0,17.0,49.0,206.0,96.0,128.0,107.0,68.0,56.0
0.0,0.0,11.0,4.0,0.0,0.0,1.0,3.0,4.0,1.0,12.0,7.0,13.0,4.0,9.0,15.0,2.0,3.0,30.0,13.0,13.0,5.0,24.0,11.0,3.0,10.0,32.0,164.0,59.0,68.0,52.0,24.0,11.0,54.0,254.0,118.0,287.0,126.0,36.0,25.0,7.0,42.0,98.0,121.0,190.0,45.0,0.0,17.0,9.0,30.0,99.0,85.0,144.0,96.0,125.0,12.0,3.0,16.0,45.0,29.0,22.0,51.0,25.0,14.0
1.0,0.0,3.0,3.0,2.0,0.0,0.0,4.0,3.0,2.0,16.0,5.0,12.0,0.0,8.0,8.0,1.0,19.0,22.0,11.0,6.0,17.0,15.0,6.0,7.0,5.0,18.0,122.0,35.0,48.0,34.0,14.0,15.0,30.0,180.0,73.0,217.0,182.0,34.0,3.0,4.0,20.0,94.0,74.0,125.0,180.0,6.0,0.0,9.0,24.0,79.0,49.0,86.0,97.0,58.0,5.0,5.0,12.0,25.0,31.0,23.0,24.0,10.0,15.0
0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,1.0,8.0,1.0,1.0,6.0,0.0,2.0,9.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,4.0,40.0,7.0,12.0,9.0,4.0,12.0,20.0,83.0,32.0,65.0,51.0,16.0,4.0,12.0,30.0,50.0,43.0,67.0,41.0,7.0,3.0,0.0,18.0,75.0,31.0,26.0,19.0,9.0,1.0,1.0,8.0,20.0,11.0,7.0,7.0,3.0,1.0
1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,17.0,3.0,6.0,3.0,6.0,2.0,4.0,9.0,18.0,79.0,31.0,31.0,18.0,5.0,11.0,32.0,158.0,98.0,298.0,121.0,28.0,9.0,3.0,14.0,76.0,113.0,219.0,114.0,17.0,17.0,9.0,0.0,6.0,53.0,141.0,22.0,27.0,0.0,8.0,4.0,15.0,14.0,18.0,6.0,9.0,3.0
1.0,2.0,35.0,11.0,1.0,0.0,0.0,3.0,15.0,10.0,20.0,21.0,58.0,7.0,8.0,31.0,4.0,32.0,97.0,32.0,28.0,24.0,23.0,30.0,20.0,39.0,97.0,554.0,138.0,128.0,84.0,18.0,59.0,182.0,879.0,459.0,999.0,660.0,182.0,58.0,64.0,103.0,152.0,284.0,799.0,696.0,102.0,81.0,98.0,12.0,0.0,33.0,499.0,315.0,264.0,11.0,30.0,118.0,190.0,104.0,123.0,90.0,56.0,31.0
0.0,0.0,16.0,6.0,7.0,1.0,0.0,7.0,13.0,3.0,21.0,18.0,34.0,3.0,5.0,15.0,2.0,22.0,39.0,20.0,21.0,18.0,8.0,9.0,10.0,18.0,57.0,417.0,81.0,104.0,80.0,9.0,24.0,127.0,613.0,324.0,556.0,474.0,158.0,68.0,35.0,103.0,187.0,91.0,349.0,508.0,79.0,80.0,37.0,103.0,26.0,0.0,17.0,176.0,205.0,11.0,14.0,86.0,136.0,40.0,62.0,54.0,38.0,18.0
